#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 7.41873730e+03 0.137072 Lin-Lin
 7.49689990e+03 0.126998 Lin-Lin
 7.57506250e+03 0.117886 Lin-Lin
 7.65322510e+03 0.109673 Lin-Lin
 7.73138770e+03 0.102210 Lin-Lin
 7.80954980e+03 0.095450 Lin-Lin
 7.85644727e+03 0.091678 Lin-Lin
 7.91897754e+03 0.086973 Lin-Lin
 7.98150732e+03 0.082597 Lin-Lin
 8.07205713e+03 0.076809 Lin-Lin
 8.13458740e+03 0.073129 Lin-Lin
 8.20036230e+03 0.069514 Lin-Lin
 8.26289258e+03 0.066306 Lin-Lin
 8.35668750e+03 0.061850 Lin-Lin
 8.45048242e+03 0.057843 Lin-Lin
 8.54427734e+03 0.054159 Lin-Lin
 8.63807227e+03 0.050827 Lin-Lin
 8.73186719e+03 0.047754 Lin-Lin
 8.82566211e+03 0.044963 Lin-Lin
 8.91945703e+03 0.042383 Lin-Lin
 9.00675879e+03 0.040198 Lin-Lin
 9.10317383e+03 0.037990 Lin-Lin
 9.16605664e+03 0.036747 Lin-Lin
 9.19719531e+03 0.036261 Lin-Lin
 9.21867480e+03 0.036060 Lin-Lin
 9.22656641e+03 0.036041 Lin-Lin
 9.24200781e+03 0.036188 Lin-Lin
 9.25127246e+03 0.036492 Lin-Lin
 9.25702441e+03 0.036842 Lin-Lin
 9.26277734e+03 0.037402 Lin-Lin
 9.26709082e+03 0.038050 Lin-Lin
 9.26996680e+03 0.038648 Lin-Lin
 9.27284277e+03 0.039442 Lin-Lin
 9.27546289e+03 0.040409 Lin-Lin
 9.27723438e+03 0.041247 Lin-Lin
 9.27900684e+03 0.042290 Lin-Lin
 9.28077930e+03 0.043607 Lin-Lin
 9.28195996e+03 0.044687 Lin-Lin
 9.28314160e+03 0.045978 Lin-Lin
 9.28415137e+03 0.047293 Lin-Lin
 9.28498828e+03 0.048568 Lin-Lin
 9.28582617e+03 0.050051 Lin-Lin
 9.28666406e+03 0.051791 Lin-Lin
 9.28750098e+03 0.053852 Lin-Lin
 9.28812891e+03 0.055664 Lin-Lin
 9.28875781e+03 0.057757 Lin-Lin
 9.28938574e+03 0.060199 Lin-Lin
 9.29001367e+03 0.063079 Lin-Lin
 9.29043262e+03 0.065299 Lin-Lin
 9.29083691e+03 0.067719 Lin-Lin
 9.29124023e+03 0.070461 Lin-Lin
 9.29164453e+03 0.073588 Lin-Lin
 9.29204883e+03 0.077174 Lin-Lin
 9.29245312e+03 0.081313 Lin-Lin
 9.29275586e+03 0.084846 Lin-Lin
 9.29305957e+03 0.088807 Lin-Lin
 9.29336230e+03 0.093260 Lin-Lin
 9.29366504e+03 0.098278 Lin-Lin
 9.29398730e+03 0.104327 Lin-Lin
 9.29422949e+03 0.109408 Lin-Lin
 9.29447168e+03 0.115013 Lin-Lin
 9.29471289e+03 0.121196 Lin-Lin
 9.29495508e+03 0.128015 Lin-Lin
 9.29520605e+03 0.135839 Lin-Lin
 9.29545703e+03 0.144489 Lin-Lin
 9.29570898e+03 0.154039 Lin-Lin
 9.29595996e+03 0.164564 Lin-Lin
 9.29621094e+03 0.176140 Lin-Lin
 9.29646289e+03 0.188842 Lin-Lin
 9.29671387e+03 0.202740 Lin-Lin
 9.29696484e+03 0.217898 Lin-Lin
 9.29721582e+03 0.234374 Lin-Lin
 9.29746777e+03 0.252214 Lin-Lin
 9.29771875e+03 0.271449 Lin-Lin
 9.29796973e+03 0.292096 Lin-Lin
 9.29822168e+03 0.314151 Lin-Lin
 9.29847266e+03 0.337589 Lin-Lin
 9.29880762e+03 0.370902 Lin-Lin
 9.29911719e+03 0.403656 Lin-Lin
 9.29954492e+03 0.451426 Lin-Lin
 9.30011426e+03 0.518508 Lin-Lin
 9.30095117e+03 0.618873 Lin-Lin
 9.30145410e+03 0.676149 Lin-Lin
 9.30178906e+03 0.711509 Lin-Lin
 9.30212402e+03 0.743695 Lin-Lin
 9.30249219e+03 0.774545 Lin-Lin
 9.30286133e+03 0.799746 Lin-Lin
 9.30319043e+03 0.816883 Lin-Lin
 9.30352051e+03 0.828450 Lin-Lin
 9.30386035e+03 0.834230 Lin-Lin
 9.30399805e+03 0.834762 Lin-Lin
 9.30432324e+03 0.831846 Lin-Lin
 9.30467871e+03 0.822060 Lin-Lin
 9.30500488e+03 0.807219 Lin-Lin
 9.30533203e+03 0.787154 Lin-Lin
 9.30560840e+03 0.766454 Lin-Lin
 9.30594336e+03 0.737318 Lin-Lin
 9.30627832e+03 0.704413 Lin-Lin
 9.30678027e+03 0.649654 Lin-Lin
 9.30745020e+03 0.570665 Lin-Lin
 9.30825488e+03 0.474488 Lin-Lin
 9.30875684e+03 0.417159 Lin-Lin
 9.30909180e+03 0.381084 Lin-Lin
 9.30942676e+03 0.347104 Lin-Lin
 9.30976172e+03 0.315441 Lin-Lin
 9.31001367e+03 0.293297 Lin-Lin
 9.31026465e+03 0.272559 Lin-Lin
 9.31051562e+03 0.253232 Lin-Lin
 9.31076660e+03 0.235301 Lin-Lin
 9.31101855e+03 0.218734 Lin-Lin
 9.31126953e+03 0.203487 Lin-Lin
 9.31152051e+03 0.189504 Lin-Lin
 9.31177246e+03 0.176720 Lin-Lin
 9.31202344e+03 0.165064 Lin-Lin
 9.31227441e+03 0.154464 Lin-Lin
 9.31252539e+03 0.144844 Lin-Lin
 9.31277734e+03 0.136128 Lin-Lin
 9.31302832e+03 0.128241 Lin-Lin
 9.31327930e+03 0.121111 Lin-Lin
 9.31353027e+03 0.114670 Lin-Lin
 9.31376172e+03 0.109291 Lin-Lin
 9.31405762e+03 0.103119 Lin-Lin
 9.31435254e+03 0.097638 Lin-Lin
 9.31464746e+03 0.092763 Lin-Lin
 9.31494336e+03 0.088422 Lin-Lin
 9.31523828e+03 0.084547 Lin-Lin
 9.31553320e+03 0.081080 Lin-Lin
 9.31582910e+03 0.077969 Lin-Lin
 9.31618555e+03 0.074619 Lin-Lin
 9.31660449e+03 0.071179 Lin-Lin
 9.31702344e+03 0.068181 Lin-Lin
 9.31744141e+03 0.065552 Lin-Lin
 9.31786035e+03 0.063231 Lin-Lin
 9.31848828e+03 0.060224 Lin-Lin
 9.31911719e+03 0.057676 Lin-Lin
 9.31974512e+03 0.055493 Lin-Lin
 9.32016406e+03 0.054205 Lin-Lin
 9.32100098e+03 0.051956 Lin-Lin
 9.32183887e+03 0.050063 Lin-Lin
 9.32267578e+03 0.048451 Lin-Lin
 9.32384570e+03 0.046568 Lin-Lin
 9.32501562e+03 0.045017 Lin-Lin
 9.32579492e+03 0.044129 Lin-Lin
 9.32735449e+03 0.042628 Lin-Lin
 9.32891309e+03 0.041412 Lin-Lin
 9.33091406e+03 0.040160 Lin-Lin
 9.33291504e+03 0.039163 Lin-Lin
 9.33591602e+03 0.038005 Lin-Lin
 9.33891797e+03 0.037127 Lin-Lin
 9.34291895e+03 0.036244 Lin-Lin
 9.34662891e+03 0.035624 Lin-Lin
 9.35175391e+03 0.034972 Lin-Lin
 9.35858789e+03 0.034341 Lin-Lin
 9.36883887e+03 0.033674 Lin-Lin
 9.38003516e+03 0.033149 Lin-Lin
 9.40337109e+03 0.032380 Lin-Lin
 9.43234473e+03 0.031676 Lin-Lin
 9.46976465e+03 0.030921 Lin-Lin
 9.54930078e+03 0.029540 Lin-Lin
 9.66114355e+03 0.027798 Lin-Lin
 9.79887891e+03 0.025887 Lin-Lin
 9.89973047e+03 0.024602 Lin-Lin
 1.00299785e+04 0.023087 Lin-Lin
 1.01575127e+04 0.021721 Lin-Lin
 1.03339277e+04 0.020021 Lin-Lin
 1.04787988e+04 0.018764 Lin-Lin
 1.06342266e+04 0.017539 Lin-Lin
 1.07745498e+04 0.016523 Lin-Lin
 1.09148730e+04 0.015597 Lin-Lin
